unit,time,chamber_temp_setpoint,pressure_mode,rpm_config,sensor_1,stage_temp_x,spindle_vibration_x,spindle_vibration_y,sensor_5,sensor_6,coolant_pressure,coolant_flow_rate,sensor_9,sensor_10,airflow_alignment_error,voltage_fluctuation,sensor_13,sensor_14,thermal_drift_z,motor_torque,sensor_18,sensor_19,load_variation,power_draw,RUL
1,1,0.8332108388153595,0.9959231241135099,100.0,449.44,0.17740326545916485,0.2907831378049974,0.24775476446191025,5.48,8.0,0.13703875701632023,0.6499733814466024,8341.91,1.02,0.4731728632012513,183.06,2387.72,8048.56,0.35869383284379897,0.30769230769230793,2223,100.0,14.73,0.15063763662598806,148
1,2,0.9996547214135796,0.988813316075965,100.0,445.0,0.12702484001215453,0.2753850069262729,0.21828045862348144,3.91,5.71,0.0022668547071335587,0.6265709485421489,8303.96,1.02,0.4887533639132524,130.42,2387.66,8072.3,0.3699145387531293,0.26373626373626413,2212,100.0,10.41,0.002219898468854231,147
1,3,0.5951265610439758,0.7358282752501796,60.0,462.54,0.009839924373822306,0.0,0.016621628790445264,7.05,9.02,0.09156862828578866,0.00019589722863333492,8001.42,0.94,0.010339462948234512,164.22,2028.03,7864.87,0.9425086387527521,0.032967032967033294,1915,84.93,14.08,0.14276283889963148,146
1,4,0.9998560887020082,0.9899164007758982,100.0,445.0,0.12335348790584888,0.27770635308662905,0.21982180858402423,3.91,5.71,0.0021438030174010247,0.6265917791214193,8303.96,1.02,0.467873527585946,130.72,2387.61,8068.66,0.3611201295069013,0.2527472527472532,2212,100.0,10.59,0.01411388079145226,145
1,5,0.5950392844989634,0.7275758775432282,60.0,462.54,0.00764065934378344,0.0027134236787182964,0.017848959366462136,7.05,9.03,0.09000157250763685,0.00016865677172273053,7993.23,0.94,0.027524233140946652,164.31,2028.0,7861.23,0.9454074360010205,0.032967032967033294,1915,84.93,14.13,0.13436811758451683,144
1,6,0.5952099028867933,0.7305930759163369,60.0,462.54,0.007186462551108441,0.027469403127022396,0.019887307554989242,7.05,9.03,0.0902748469629126,0.00027333489471548233,7996.1,0.94,0.01830042693266476,164.27,2028.01,7868.87,0.9418683777153127,0.0,1915,84.93,14.28,0.13614403635960015,143
1,7,0.9998318801678483,0.99290733949129,100.0,445.0,0.12553605677760338,0.2589207260642654,0.22190750286822514,3.91,5.71,0.0027411132229934743,0.6266742552992062,8307.75,1.02,0.48802430297225907,130.49,2387.69,8075.54,0.3711920030182121,0.26373626373626413,2212,100.0,10.62,0.011344849543460322,142
1,8,0.47629323132705065,0.8215697221591812,100.0,491.19,0.6623889810193146,0.6421612157601415,0.5441564003703125,9.35,13.65,0.4725870493522101,0.8638552732229616,8709.12,1.08,0.6685490407296486,315.11,2387.99,8049.26,0.3181338116154073,0.6483516483516478,2324,100.0,24.33,0.5006688904596943,141
1,9,0.9997268421667709,0.9938055968345106,100.0,445.0,0.12171349184699753,0.26113940097710575,0.22256929208343434,3.91,5.71,0.001177522118450014,0.6266653356769964,8312.33,1.02,0.4973259636518228,130.97,2387.62,8065.78,0.3745631032531098,0.2747252747252751,2212,100.0,10.69,0.00886206836118919,140
1,10,0.999626628435778,0.9945829252670703,100.0,445.0,0.12169531417555302,0.2844657045648811,0.2217025907475949,3.91,5.71,0.0027029919615740305,0.6265299825092345,8302.31,1.02,0.47312201098835294,130.5,2387.62,8069.11,0.3795350547078793,0.2527472527472532,2212,100.0,10.57,0.0032831129986738983,139
1,11,0.9998263313812116,0.9951623125887709,100.0,445.0,0.1261509241016885,0.2739674658916771,0.21943444293170966,3.91,5.71,0.0005904057386799666,0.6266249730259981,8301.22,1.02,0.47559210921358375,130.41,2387.64,8076.44,0.3738048973034065,0.2747252747252751,2212,100.0,10.51,0.006478598426208848,138
1,12,0.0002415006205390176,0.003908334242633364,100.0,518.67,0.9903904116497992,0.9385822444142122,0.9310320466020885,14.62,21.61,0.9996307860558649,0.9995893083331566,9038.84,1.3,0.9351347782807529,521.29,2388.16,8121.09,0.0,0.9560439560439562,2388,100.0,39.04,0.9955017846815325,137
1,13,0.4762119937414219,0.8260842236387612,100.0,491.19,0.6644710463818759,0.6622777787634138,0.5537775861908236,9.35,13.65,0.47480815529979914,0.8638491891034139,8710.39,1.08,0.682216974073389,314.77,2388.04,8048.52,0.3044176104517713,0.6483516483516478,2324,100.0,24.4,0.4960713638939357,136
1,14,0.9998716745936199,0.9928968928061084,100.0,445.0,0.12296851730332037,0.273872473139654,0.20648281440433092,3.91,5.71,0.0024747298197733136,0.6266246214057736,8312.22,1.02,0.4809955019205434,130.6,2387.69,8070.37,0.3751612176337087,0.26373626373626413,2212,100.0,10.69,0.005520536981755975,135
1,15,0.23823391480590922,0.295446309763099,100.0,489.05,0.6356661820126916,0.6993341710736618,0.6821683972324624,10.52,15.49,0.6185828770150393,0.853288828802933,8765.1,1.26,0.7744666985379309,372.03,2388.14,8118.56,0.08199202377474668,0.6923076923076925,2319,100.0,28.54,0.6366844063816238,134
1,16,0.8331898829529658,0.9896110909541206,100.0,449.44,0.17963213657878274,0.3016297764272955,0.2212889536175875,5.48,8.0,0.1365300609380556,0.650218397897139,8336.74,1.02,0.44900437157597617,182.78,2387.76,8053.94,0.3526135222002602,0.28571428571428603,2223,100.0,14.96,0.1586701639803948,133
1,17,0.5953046731492243,0.7322763252799775,60.0,462.54,0.0,0.00945684334504815,0.03089860481687401,7.05,9.02,0.09037467720831255,0.0001995223483612918,8005.82,0.94,0.013556771938217249,164.53,2028.03,7857.51,0.9327588329059608,0.01098901098901095,1915,84.93,14.07,0.1381594704957968,132
1,18,0.8330528948501119,0.9912399661674487,100.0,449.44,0.17862427366576306,0.30944923725366413,0.24360203705588512,5.48,8.0,0.13493488408275134,0.6500783392430236,8336.57,1.02,0.46957389105752956,182.72,2387.72,8052.73,0.3593408877212121,0.30769230769230793,2223,100.0,14.99,0.16001378673785915,131
1,19,0.9996713536527112,0.9837257095947249,100.0,445.0,0.11930882342665594,0.26469328829145944,0.2415542714896266,3.91,5.71,0.0027639297821803743,0.6266126930579938,8300.02,1.02,0.4734447331144169,130.42,2387.63,8070.7,0.37403697986332585,0.28571428571428603,2212,100.0,10.49,0.011157910725030584,130
1,20,0.47613281321099415,0.8293787700114943,100.0,491.19,0.6666192430784932,0.6443022618199463,0.5528913674766414,9.35,13.66,0.4726360334159666,0.8639977192644492,8708.9,1.08,0.6828769025359152,314.85,2388.08,8047.01,0.33139032833072557,0.6593406593406597,2324,100.0,24.46,0.49256041921030036,129
1,21,0.9997264639916174,0.986868909242381,100.0,445.0,0.12493808861352118,0.26701228544847133,0.22981851688196153,3.91,5.72,0.0008709471247642653,0.6266047473430616,8303.44,1.02,0.49586752681921586,129.98,2387.62,8071.57,0.3762910267511863,0.2747252747252751,2212,100.0,10.56,0.009913599214857016,128
1,22,0.9997926657250876,0.9970012076714095,100.0,445.0,0.1240078676076175,0.2739870384484724,0.2276721600526086,3.91,5.71,0.0029321006587592624,0.6265972099683514,8300.2,1.02,0.4719263068895647,130.79,2387.72,8069.93,0.3645293148648685,0.26373626373626413,2212,100.0,10.58,0.011426635276523434,127
1,23,0.9996934994624559,0.989866727756973,100.0,445.0,0.12272285776400338,0.2589680439257598,0.21960691459971615,3.91,5.71,0.002357375886057611,0.6266061454274299,8300.28,1.02,0.4685250049999854,130.48,2387.76,8070.05,0.36080972388520216,0.2747252747252751,2212,100.0,10.56,0.01181803842761081,126
1,24,0.9997855712237391,0.9965458178580541,100.0,445.0,0.1295952693947191,0.2742453184564009,0.22378231742378185,3.91,5.72,0.0015470700056615105,0.6266212662447721,8308.75,1.02,0.4738138437797441,130.17,2387.64,8069.53,0.37352764950066986,0.28571428571428603,2212,100.0,10.48,0.0076703333936989915,125
1,25,0.9998565965519461,0.9798102145361434,100.0,445.0,0.12254129806689384,0.26711124004721665,0.2096796519239934,3.91,5.72,0.0034947570243687998,0.6266177951925869,8306.69,1.02,0.4928228006306066,130.73,2387.64,8066.98,0.364158257531614,0.28571428571428603,2212,100.0,10.55,0.015410768844309197,124
1,26,0.9996874735330621,0.9904577346762556,100.0,445.0,0.12199064578327246,0.28737452547274067,0.2166650688117726,3.91,5.71,0.002675911682003651,0.6268774114804172,8308.9,1.02,0.4850946931257849,130.42,2387.67,8072.18,0.37352929457542494,0.2747252747252751,2212,100.0,10.62,0.006794057682309174,123
1,27,0.59543389216835,0.7339104451538556,60.0,462.54,0.007057322566257795,0.01841421564850254,0.018112814183149695,7.05,9.02,0.09239086207687314,0.00023200175120585698,7998.23,0.94,0.017611337021584017,164.3,2027.94,7859.12,0.9521870179577601,0.021978021978022344,1915,84.93,14.27,0.13856839916111208,122
1,28,9.649380381609048e-05,0.009267418479535992,100.0,518.67,0.9935571581675404,0.9493111945080766,0.9332417767624124,14.62,21.61,0.9999957079759243,0.9996262709478501,9037.52,1.3,0.9617510877843247,521.17,2388.14,8122.45,0.03846670027385679,0.9450549450549453,2388,100.0,38.93,0.9925224472628068,121
1,29,0.00011826954883815426,0.0,100.0,518.67,0.9883471609844241,0.9793251259102891,0.9646136932829399,14.62,21.61,0.9985710414994211,0.9995485665257249,9039.24,1.3,0.9345408183100061,521.33,2388.07,8121.25,0.026621061505071264,0.9230769230769234,2388,100.0,38.73,0.9897709415290427,120
1,30,0.4763021939059173,0.8296187853168306,100.0,491.19,0.6654806825814719,0.6535705545648667,0.5246242576092093,9.35,13.65,0.472877165019688,0.8638997006938931,8713.7,1.08,0.6753194855953493,314.92,2388.06,8043.8,0.32169583965084403,0.6483516483516478,2324,100.0,24.43,0.4939098838058408,119
1,31,0.23833475455145098,0.293131734936712,100.0,489.05,0.6408574495782045,0.7082767947273632,0.6949488351504582,10.52,15.49,0.6161175498771964,0.8534082463655412,8760.33,1.26,0.7673576376389941,371.28,2388.16,8117.91,0.093184407479042,0.6813186813186816,2319,100.0,28.5,0.6340731047616823,118
1,32,0.23805911034512642,0.29915744132231414,100.0,489.05,0.6367344200532541,0.7227878332901922,0.711071922348149,10.52,15.5,0.6161734441221232,0.8534105948036999,8763.76,1.26,0.7599397768260872,372.0,2388.1,8118.93,0.1028969464687397,0.6923076923076925,2319,100.0,28.65,0.6430111170178584,117
1,33,0.00012589959607327622,0.013423263445505661,100.0,518.67,0.9944255411292255,0.9337107863046161,0.9370577464636254,14.62,21.61,0.998721519445217,0.9995818325037185,9039.84,1.3,0.9582882466185825,521.55,2388.13,8126.15,0.022730696035091924,0.9560439560439562,2388,100.0,39.01,0.9969096676578321,116
1,34,0.00013991106280015545,0.0035875799927875323,100.0,518.67,0.9861452372908159,0.9429239555545466,0.9415417250658855,14.62,21.61,0.9988366572843184,0.9996584975619776,9036.68,1.3,0.9549529469437794,521.15,2388.13,8116.33,0.015272342353989998,0.9450549450549453,2388,100.0,39.02,0.99727186161854,115
1,35,0.2383478170720164,0.29483620321484055,100.0,489.05,0.6419460995715927,0.7065029372270408,0.6838560920107755,10.52,15.49,0.6162393133196298,0.8535713193905288,8765.65,1.26,0.7731249992460758,371.35,2388.15,8114.43,0.10434241643843833,0.6813186813186816,2319,100.0,28.74,0.6399149428376144,114
1,36,0.5952328879076975,0.7287756474285717,60.0,462.54,0.006473384661237702,0.0411100761536618,0.027352170198827075,7.05,9.03,0.09149029723093816,0.0003414755479420606,7998.94,0.94,0.029320095694838066,164.61,2027.94,7867.76,0.9437464361076797,0.01098901098901095,1915,84.93,14.25,0.14261095110965716,113
1,37,0.23834594996637298,0.3021026512568049,100.0,489.05,0.6381549545336567,0.696900610810752,0.6951157190694861,10.52,15.49,0.6164214515476972,0.8534137053762443,8764.83,1.26,0.7677313445188214,371.34,2388.15,8109.56,0.10608689585758668,0.6923076923076925,2319,100.0,28.4,0.6405692287021189,112
1,38,0.5950586686007399,0.730974251614372,60.0,462.54,0.00474974795328631,0.013932247976542023,0.012730927381147783,7.05,9.02,0.09228834555853593,0.00029295987341271257,8003.33,0.94,0.02123697152958881,164.32,2027.95,7862.53,0.9519324891915959,0.0,1915,84.93,14.23,0.13609145981691673,111
1,39,0.5950325167837641,0.732749072215823,60.0,462.54,0.0038835724066332844,0.03112938662309217,0.042919619675021004,7.05,9.02,0.09234823258515462,0.00023748107103838123,7994.34,0.94,0.0,164.19,2027.95,7865.11,0.9631024771549628,0.01098901098901095,1915,84.93,14.44,0.13973676677629854,110
1,40,0.23826986310340847,0.30381864644552103,100.0,489.05,0.6412249674198058,0.708962170794194,0.7001946108877397,10.52,15.49,0.6165434992138009,0.8534175075874604,8770.13,1.26,0.7812763030840975,371.16,2388.16,8111.91,0.09988806399207473,0.7032967032967035,2319,100.0,28.55,0.6347215487881108,109
1,41,0.5953537397148212,0.728509178514149,60.0,462.54,0.004590276015106198,0.014427241075666064,0.020036110262059648,7.05,9.02,0.09168952776052924,0.00021625907517641707,7997.12,0.94,0.03270544477734649,164.97,2028.03,7862.39,0.9502161116731633,0.01098901098901095,1915,84.93,14.37,0.13522686778167886,108
1,42,0.8332656120046354,0.988093382152382,100.0,449.44,0.17756332154324372,0.3094022890209831,0.24574658725153675,5.48,8.0,0.13760690190072433,0.6500791941106154,8335.88,1.02,0.46259544612174297,182.74,2387.72,8057.2,0.37728951611786554,0.30769230769230793,2223,100.0,14.66,0.15454582629878666,107
1,43,0.9998071003222296,0.9895414647605034,100.0,445.0,0.12582459874653473,0.2669897720037624,0.22292068309758584,3.91,5.71,0.0031542556582859205,0.6266521287686828,8309.94,1.02,0.46682055401678024,131.44,2387.65,8070.12,0.37580685316823725,0.2747252747252751,2212,100.0,10.58,0.009078216369998615,106
1,44,0.00015804694985075467,0.006388775186140768,100.0,518.67,0.9892098427139393,0.9310964407980662,0.937672062845051,14.62,21.61,0.9973180974334106,0.9996867998928707,9037.76,1.3,0.9620401252231408,521.63,2388.16,8128.64,0.034338646428290875,0.9560439560439562,2388,100.0,38.81,0.9955602030622915,105
1,45,0.8332111412061614,0.9909032401780592,100.0,449.44,0.17703029410719395,0.32391227492402264,0.22666750183494466,5.48,8.0,0.1364660517647237,0.6500062919677534,8338.36,1.02,0.46338549548105235,182.67,2387.74,8051.91,0.36992455824141457,0.30769230769230793,2223,100.0,14.82,0.16334363444114053,104
1,46,0.9999502374661772,0.9885200829141975,100.0,445.0,0.12274667217739843,0.28002842682466156,0.21870789635282506,3.91,5.71,0.0014149630092850085,0.6266482610760917,8309.66,1.02,0.4845082408546957,130.9,2387.63,8071.22,0.3767163251423069,0.2747252747252751,2212,100.0,10.63,0.007086149586105761,103
